㘔	[口宀八貝,owtn,cǎn_sǎi]
㘕	[口艹𠂉皿,ohpm,hǎn_lán]
㘖	[口文彡頁,oysg,yán]
㘗	[口目目隹,onnt,qū]
㘘	[言糹糹口,yaao,]
㘙	[口吅耳攵,oohp,yán_yǎn]
㘚	[口門耳攵,onhp,hǎn]
㘛	[口人月{龍右},ousl,kān]
㘜	[隹言口,tyow,chǐ_chóu_chù]
㘝	[囗又,ndow,niǎn_niè_nà_lǎn]
㘞	[囗力,nclw,huò]
㘟	[囗廾,nhvw,]
㘠	[囗心丿,nrpw,bì_mì]
㘡	[囗甲,nkjw,xiá]
㘢	[囗⺌兀,nngw,wěng]
㘣	[囗口月,nosw,xuán_yuán]
㘤	[囗氵爿,nzaw,wān]
㘥	[囗爫糸,nvaw,yóu]
㘦	[土力,jcl,qín]
㘧	[土予,jby,xù]
㘨	[土冂人,jmuu,nèi_niè]
㘩	[土比,jvb,bì]
㘪	[土毛,jrm,hào]
㘫	[土キ丨,jfku,jǐng]
㘬	[土勹厶,jsai,ào_wù]
㘭	[土幺,jabu,ào]
㘮	[土尸丶,jdwu,]
㘯	[土𠂉力,jpcl,]
㘰	[土⺀十,jzeu,zhēn]
㘱	[土冂土,jmjv,tān]
㘲	[土尸九,jdrj,jú]
㘳	[丬匕土,xvjv,]
㘴	[口人土,oujv,zuò]
㘵	[土𠂇巾,jhmj,bù]
㘶	[夕㐄土,qfjx,jié]
㘷	[土艹乂,jhti,ài]
㘸	[歹匕土,gvjd,zàng_zuò]
㘹	[止匕土,lvjz,cí]
㘺	[土亻戈,jtfg,fá]
㘻	[土囗大,jnfd,]
㘼	[土耂丂,jjjk,]
㘽	[十戈土,efjv,]
㘾	[土宀一{于下},jwgi,]
㘿	[土日土,jkjv,niè]
㙀	[土穴九,jwrj,liù_jiù]
㙁	[土𠂉母,jpcm,mǎng_méi_mèi_mù_nà]
㙂	[土丷口儿,jxov,duì_wèng]
㙃	[土亻工八,jtit,bāng]
㙄	[土比土,jvjv,bì]
㙅	[土口木,joiv,bǎo]
㙆	[土宀𠂇厶,jwha,]
㙇	[土豕丶,jgwu,chù]
㙈	[土虍几,jlqj,hán_xià]
㙉	[土冂龷八,jmht,tiǎn]
㙊	[土長,jez,cháng_zhàng]
㙋	[土其,jhq,]
㙌	[土彐小{介下},jbct,]
㙍	[土又又又,jddd,duō]
㙎	[土戊一女,jfgc,wēi_wēi]
㙏	[土𠂉日夂,jpkv,fù]
㙐	[土山而,jmge,duǒ]
㙑	[丿虫冂土,plmj,yǔ]
㙒	[田予土,kbjt,yě]
㙓	[土土土土,jjjj,kuí]
㙔	[土韋,jdw,hán_wěi]
㙕	[土田月,jksv,kuài]
